Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,AQI Value_Normalized,CO AQI Value_Normalized,Ozone AQI Value_Normalized,NO2 AQI Value_Normalized,PM2.5 AQI Value_Normalized
belgium,beveren,47,good,1,good,38,good,2,good,47,good,0.08299595141700404,0.007518796992481203,0.16170212765957448,0.02197802197802198,0.094
india,bhavnagar,103,unhealthy for sensitive groups,1,good,27,good,1,good,103,unhealthy for sensitive groups,0.19635627530364372,0.007518796992481203,0.1148936170212766,0.01098901098901099,0.20600000000000002
india,bhikhi,162,unhealthy,4,good,42,good,13,good,162,unhealthy,0.3157894736842105,0.03007518796992481,0.17872340425531916,0.14285714285714288,0.324
india,bilgram,161,unhealthy,3,good,59,moderate,6,good,161,unhealthy,0.31376518218623484,0.022556390977443608,0.25106382978723407,0.06593406593406594,0.322
india,bindki,180,unhealthy,4,good,101,unhealthy for sensitive groups,6,good,180,unhealthy,0.3522267206477733,0.03007518796992481,0.4297872340425532,0.06593406593406594,0.36
germany,bitterfeld,46,good,1,good,46,good,0,good,44,good,0.08097165991902834,0.007518796992481203,0.19574468085106383,0.0,0.088
united states of america,bixby,60,moderate,2,good,33,good,5,good,60,moderate,0.10931174089068826,0.015037593984962405,0.14042553191489363,0.05494505494505495,0.12
united states of america,blacksburg,43,good,1,good,43,good,0,good,18,good,0.07489878542510121,0.007518796992481203,0.18297872340425533,0.0,0.036000000000000004
poland,bochnia,70,moderate,1,good,46,good,0,good,70,moderate,0.12955465587044535,0.007518796992481203,0.19574468085106383,0.0,0.14
germany,bockenem,44,good,1,good,44,good,0,good,37,good,0.07692307692307693,0.007518796992481203,0.18723404255319148,0.0,0.074
poland,bogatynia,55,moderate,1,good,43,good,0,good,55,moderate,0.09919028340080971,0.007518796992481203,0.18297872340425533,0.0,0.11
russian federation,bolshaya glushitsa,44,good,1,good,44,good,0,good,12,good,0.07692307692307693,0.007518796992481203,0.18723404255319148,0.0,0.024
russian federation,bolshoy kamen,97,moderate,2,good,58,moderate,2,good,97,moderate,0.18421052631578946,0.015037593984962405,0.24680851063829787,0.02197802197802198,0.194
uganda,bombo,127,unhealthy for sensitive groups,3,good,13,good,1,good,127,unhealthy for sensitive groups,0.2449392712550607,0.022556390977443608,0.055319148936170216,0.01098901098901099,0.254
united states of america,bon air,50,good,1,good,39,good,2,good,50,good,0.08906882591093117,0.007518796992481203,0.16595744680851063,0.02197802197802198,0.1
france,bondy,69,moderate,1,good,46,good,1,good,69,moderate,0.12753036437246965,0.007518796992481203,0.19574468085106383,0.01098901098901099,0.138
ethiopia,bonga,24,good,1,good,16,good,0,good,24,good,0.03643724696356275,0.007518796992481203,0.06808510638297872,0.0,0.048
russian federation,borovsk,38,good,1,good,38,good,0,good,18,good,0.06477732793522267,0.007518796992481203,0.16170212765957448,0.0,0.036000000000000004
turkey,boyabat,43,good,1,good,43,good,0,good,28,good,0.07489878542510121,0.007518796992481203,0.18297872340425533,0.0,0.056
uzbekistan,boz,131,unhealthy for sensitive groups,1,good,31,good,13,good,131,unhealthy for sensitive groups,0.25303643724696356,0.007518796992481203,0.13191489361702127,0.14285714285714288,0.262
south africa,breyten,53,moderate,1,good,18,good,5,good,53,moderate,0.0951417004048583,0.007518796992481203,0.07659574468085106,0.05494505494505495,0.106
mexico,buenos aires,43,good,1,good,28,good,0,good,43,good,0.07489878542510121,0.007518796992481203,0.11914893617021277,0.0,0.08600000000000001
australia,burnie,26,good,0,good,26,good,1,good,12,good,0.040485829959514164,0.0,0.11063829787234043,0.01098901098901099,0.024
spain,burriana,41,good,1,good,41,good,0,good,14,good,0.0708502024291498,0.007518796992481203,0.17446808510638298,0.0,0.028
turkey,bursa,54,moderate,1,good,43,good,0,good,54,moderate,0.09716599190283401,0.007518796992481203,0.18297872340425533,0.0,0.108
united kingdom of great britain and northern ireland,bury,40,good,1,good,35,good,1,good,40,good,0.06882591093117409,0.007518796992481203,0.14893617021276595,0.01098901098901099,0.08
mexico,caborca,85,moderate,1,good,24,good,1,good,85,moderate,0.15991902834008098,0.007518796992481203,0.1021276595744681,0.01098901098901099,0.17
germany,cadolzburg,64,moderate,1,good,52,moderate,0,good,64,moderate,0.11740890688259109,0.007518796992481203,0.22127659574468087,0.0,0.128
india,calcutta,195,unhealthy,8,good,10,good,19,good,195,unhealthy,0.3825910931174089,0.06015037593984962,0.0425531914893617,0.2087912087912088,0.39
italy,calenzano,67,moderate,1,good,67,moderate,0,good,45,good,0.12348178137651822,0.007518796992481203,0.2851063829787234,0.0,0.09
brazil,camacari,22,good,0,good,22,good,0,good,18,good,0.032388663967611336,0.0,0.09361702127659574,0.0,0.036000000000000004
australia,canberra,24,good,0,good,24,good,1,good,11,good,0.03643724696356275,0.0,0.1021276595744681,0.01098901098901099,0.022
brazil,capinzal,25,good,1,good,11,good,0,good,25,good,0.038461538461538464,0.007518796992481203,0.04680851063829787,0.0,0.05
brazil,capivari,77,moderate,1,good,33,good,1,good,77,moderate,0.1437246963562753,0.007518796992481203,0.14042553191489363,0.01098901098901099,0.154
portugal,carnaxide,41,good,1,good,41,good,1,good,20,good,0.0708502024291498,0.007518796992481203,0.17446808510638298,0.01098901098901099,0.04
venezuela (bolivarian republic of),carrizal,59,moderate,1,good,34,good,1,good,59,moderate,0.10728744939271255,0.007518796992481203,0.1446808510638298,0.01098901098901099,0.11800000000000001
france,carvin,49,good,1,good,38,good,1,good,49,good,0.08704453441295547,0.007518796992481203,0.16170212765957448,0.01098901098901099,0.098
united states of america,cary,55,moderate,1,good,30,good,3,good,55,moderate,0.09919028340080971,0.007518796992481203,0.1276595744680851,0.03296703296703297,0.11
spain,castro urdiales,41,good,1,good,41,good,0,good,18,good,0.0708502024291498,0.007518796992481203,0.17446808510638298,0.0,0.036000000000000004
italy,cercola,72,moderate,1,good,72,moderate,1,good,56,moderate,0.13360323886639675,0.007518796992481203,0.30638297872340425,0.01098901098901099,0.112
trinidad and tobago,chaguanas,59,moderate,0,good,25,good,2,good,59,moderate,0.10728744939271255,0.0,0.10638297872340426,0.02197802197802198,0.11800000000000001
guatemala,chajul,41,good,1,good,24,good,0,good,41,good,0.0708502024291498,0.007518796992481203,0.1021276595744681,0.0,0.082
india,chakia,155,unhealthy,4,good,43,good,7,good,155,unhealthy,0.3016194331983806,0.03007518796992481,0.18297872340425533,0.07692307692307693,0.31
india,champdani,220,very unhealthy,10,good,9,good,23,good,220,very unhealthy,0.4331983805668016,0.07518796992481203,0.03829787234042553,0.2527472527472528,0.44
france,champigny sur marne,71,moderate,1,good,45,good,1,good,71,moderate,0.13157894736842105,0.007518796992481203,0.19148936170212766,0.01098901098901099,0.14200000000000002
mexico,chetumal,57,moderate,1,good,27,good,0,good,57,moderate,0.10323886639676114,0.007518796992481203,0.1148936170212766,0.0,0.114
india,chhata,177,unhealthy,5,good,41,good,13,good,177,unhealthy,0.34615384615384615,0.03759398496240601,0.17446808510638298,0.14285714285714288,0.354
chile,chimbarongo,94,moderate,4,good,2,good,4,good,94,moderate,0.17813765182186234,0.03007518796992481,0.00851063829787234,0.04395604395604396,0.188
zambia,chinsali,30,good,0,good,24,good,0,good,30,good,0.048582995951417005,0.0,0.1021276595744681,0.0,0.06
japan,chofu,84,moderate,2,good,25,good,19,good,84,moderate,0.15789473684210525,0.015037593984962405,0.10638297872340426,0.2087912087912088,0.168
france,cholet,38,good,1,good,38,good,0,good,23,good,0.06477732793522267,0.007518796992481203,0.16170212765957448,0.0,0.046
china,choucheng,181,unhealthy,10,good,0,good,25,good,181,unhealthy,0.354251012145749,0.07518796992481203,0.0,0.27472527472527475,0.362
burundi,cibitoke,68,moderate,1,good,28,good,0,good,68,moderate,0.12550607287449392,0.007518796992481203,0.11914893617021277,0.0,0.136
indonesia,ciledug,166,unhealthy,7,good,11,good,19,good,166,unhealthy,0.32388663967611336,0.05263157894736842,0.04680851063829787,0.2087912087912088,0.332
italy,cinisello balsamo,90,moderate,1,good,66,moderate,0,good,90,moderate,0.1700404858299595,0.007518796992481203,0.28085106382978725,0.0,0.18
italy,civitavecchia,74,moderate,1,good,74,moderate,0,good,27,good,0.13765182186234817,0.007518796992481203,0.3148936170212766,0.0,0.054
france,clermont ferrand,59,moderate,1,good,41,good,0,good,59,moderate,0.10728744939271255,0.007518796992481203,0.17446808510638298,0.0,0.11800000000000001
germany,cleves,42,good,1,good,38,good,0,good,42,good,0.0728744939271255,0.007518796992481203,0.16170212765957448,0.0,0.084
united states of america,clifton,52,moderate,1,good,46,good,2,good,52,moderate,0.09311740890688258,0.007518796992481203,0.19574468085106383,0.02197802197802198,0.10400000000000001
ireland,clonmel,57,moderate,1,good,39,good,0,good,57,moderate,0.10323886639676114,0.007518796992481203,0.16595744680851063,0.0,0.114
kenya,taveta,43,good,1,good,18,good,0,good,43,good,0.07489878542510121,0.007518796992481203,0.07659574468085106,0.0,0.08600000000000001
philippines,tayug,89,moderate,1,good,29,good,1,good,89,moderate,0.1680161943319838,0.007518796992481203,0.12340425531914893,0.01098901098901099,0.178
romania,tecuci,44,good,1,good,41,good,0,good,44,good,0.07692307692307693,0.007518796992481203,0.17446808510638298,0.0,0.088
united states of america,tehachapi,34,good,1,good,34,good,4,good,30,good,0.05668016194331983,0.007518796992481203,0.1446808510638298,0.04395604395604396,0.06
guinea,telimele,51,moderate,1,good,16,good,0,good,51,moderate,0.09109311740890688,0.007518796992481203,0.06808510638297872,0.0,0.10200000000000001
japan,tendo,35,good,1,good,35,good,1,good,15,good,0.058704453441295545,0.007518796992481203,0.14893617021276595,0.01098901098901099,0.03
canada,terrace,24,good,0,good,24,good,1,good,11,good,0.03643724696356275,0.0,0.1021276595744681,0.01098901098901099,0.022
lesotho,teyateyaneng,65,moderate,2,good,23,good,1,good,65,moderate,0.11943319838056679,0.015037593984962405,0.09787234042553192,0.01098901098901099,0.13
south africa,thaba nchu,90,moderate,2,good,17,good,3,good,90,moderate,0.1700404858299595,0.015037593984962405,0.0723404255319149,0.03296703296703297,0.18
united states of america,the woodlands,51,moderate,1,good,12,good,11,good,51,moderate,0.09109311740890688,0.007518796992481203,0.05106382978723405,0.1208791208791209,0.10200000000000001
greece,thermi,63,moderate,1,good,45,good,0,good,63,moderate,0.11538461538461539,0.007518796992481203,0.19148936170212766,0.0,0.126
greece,thessaloniki,63,moderate,1,good,47,good,1,good,63,moderate,0.11538461538461539,0.007518796992481203,0.2,0.01098901098901099,0.126
united states of america,thousand oaks,50,good,2,good,31,good,14,good,50,good,0.08906882591093117,0.015037593984962405,0.13191489361702127,0.15384615384615385,0.1
israel,tirat karmel,132,unhealthy for sensitive groups,2,good,42,good,9,good,132,unhealthy for sensitive groups,0.2550607287449393,0.015037593984962405,0.17872340425531916,0.09890109890109891,0.264
india,tiruvannamalai,68,moderate,1,good,35,good,0,good,68,moderate,0.12550607287449392,0.007518796992481203,0.14893617021276595,0.0,0.136
japan,tokuyama,46,good,1,good,46,good,2,good,45,good,0.08097165991902834,0.007518796992481203,0.19574468085106383,0.02197802197802198,0.09
japan,tomakomai,33,good,1,good,33,good,0,good,14,good,0.05465587044534413,0.007518796992481203,0.14042553191489363,0.0,0.028
russian federation,uren,32,good,1,good,32,good,0,good,4,good,0.05263157894736842,0.007518796992481203,0.13617021276595745,0.0,0.008
japan,ushiku,39,good,1,good,39,good,2,good,38,good,0.06680161943319837,0.007518796992481203,0.16595744680851063,0.02197802197802198,0.076
russian federation,ust dzheguta,45,good,1,good,45,good,0,good,15,good,0.07894736842105263,0.007518796992481203,0.19148936170212766,0.0,0.03
france,valbonne,74,moderate,2,good,34,good,3,good,74,moderate,0.13765182186234817,0.015037593984962405,0.1446808510638298,0.03296703296703297,0.148
portugal,valongo,38,good,1,good,15,good,6,good,38,good,0.06477732793522267,0.007518796992481203,0.06382978723404255,0.06593406593406594,0.076
romania,vaslui,62,moderate,1,good,43,good,0,good,62,moderate,0.11336032388663966,0.007518796992481203,0.18297872340425533,0.0,0.124
portugal,vendas novas,35,good,0,good,27,good,1,good,35,good,0.058704453441295545,0.0,0.1148936170212766,0.01098901098901099,0.07
ecuador,ventanas,75,moderate,2,good,5,good,8,good,75,moderate,0.13967611336032387,0.015037593984962405,0.02127659574468085,0.08791208791208792,0.15
haiti,verrettes,131,unhealthy for sensitive groups,2,good,18,good,4,good,131,unhealthy for sensitive groups,0.25303643724696356,0.015037593984962405,0.07659574468085106,0.04395604395604396,0.262
south sudan,tonj,84,moderate,2,good,4,good,0,good,84,moderate,0.15789473684210525,0.015037593984962405,0.01702127659574468,0.0,0.168
united states of america,topeka,67,moderate,1,good,33,good,4,good,67,moderate,0.12348178137651822,0.007518796992481203,0.14042553191489363,0.04395604395604396,0.134
russian federation,toropets,30,good,0,good,30,good,0,good,29,good,0.048582995951417005,0.0,0.1276595744680851,0.0,0.058
mexico,tototlan,43,good,1,good,10,good,4,good,43,good,0.07489878542510121,0.007518796992481203,0.0425531914893617,0.04395604395604396,0.08600000000000001
argentina,trelew,18,good,0,good,18,good,0,good,2,good,0.0242914979757085,0.0,0.07659574468085106,0.0,0.004
brazil,tres de maio,32,good,1,good,11,good,2,good,32,good,0.05263157894736842,0.007518796992481203,0.04680851063829787,0.02197802197802198,0.064
russian federation,troitskiy,35,good,1,good,35,good,0,good,34,good,0.058704453441295545,0.007518796992481203,0.14893617021276595,0.0,0.068
united states of america,trotwood,45,good,1,good,32,good,7,good,45,good,0.07894736842105263,0.007518796992481203,0.13617021276595745,0.07692307692307693,0.09
algeria,tuggurt,164,unhealthy,1,good,47,good,0,good,164,unhealthy,0.31983805668016196,0.007518796992481203,0.2,0.0,0.328
trinidad and tobago,tunapuna,63,moderate,1,good,21,good,5,good,63,moderate,0.11538461538461539,0.007518796992481203,0.08936170212765958,0.05494505494505495,0.126
colombia,tunja,25,good,1,good,5,good,3,good,25,good,0.038461538461538464,0.007518796992481203,0.02127659574468085,0.03296703296703297,0.05
colombia,turbo,35,good,1,good,12,good,0,good,35,good,0.058704453441295545,0.007518796992481203,0.05106382978723405,0.0,0.07
indonesia,ubud,35,good,1,good,26,good,0,good,35,good,0.058704453441295545,0.007518796992481203,0.11063829787234043,0.0,0.07
india,ujhani,500,hazardous,1,good,51,moderate,2,good,396,hazardous,1.0,0.007518796992481203,0.2170212765957447,0.02197802197802198,0.792
indonesia,sunggal,76,moderate,2,good,41,good,0,good,76,moderate,0.1417004048582996,0.015037593984962405,0.17446808510638298,0.0,0.152
tunisia,susah,47,good,1,good,47,good,1,good,39,good,0.08299595141700404,0.007518796992481203,0.2,0.01098901098901099,0.078
poland,suwalki,47,good,1,good,37,good,0,good,47,good,0.08299595141700404,0.007518796992481203,0.1574468085106383,0.0,0.094
ghana,swedru,89,moderate,1,good,19,good,0,good,89,moderate,0.1680161943319838,0.007518796992481203,0.08085106382978724,0.0,0.178
sudan,tabat,89,moderate,1,good,28,good,0,good,89,moderate,0.1680161943319838,0.007518796992481203,0.11914893617021277,0.0,0.178
india,tadepalle,135,unhealthy for sensitive groups,1,good,40,good,0,good,135,unhealthy for sensitive groups,0.2611336032388664,0.007518796992481203,0.1702127659574468,0.0,0.27
china,tahe,29,good,1,good,29,good,0,good,14,good,0.04655870445344129,0.007518796992481203,0.12340425531914893,0.0,0.028
india,takhatpur,160,unhealthy,1,good,40,good,0,good,160,unhealthy,0.3117408906882591,0.007518796992481203,0.1702127659574468,0.0,0.32
india,talcher,163,unhealthy,1,good,65,moderate,1,good,163,unhealthy,0.31781376518218624,0.007518796992481203,0.2765957446808511,0.01098901098901099,0.326
united states of america,tallmadge,50,good,1,good,33,good,8,good,50,good,0.08906882591093117,0.007518796992481203,0.14042553191489363,0.08791208791208792,0.1
japan,tamana,63,moderate,2,good,26,good,8,good,63,moderate,0.11538461538461539,0.015037593984962405,0.11063829787234043,0.08791208791208792,0.126
brazil,taquara,48,good,1,good,15,good,3,good,48,good,0.08502024291497975,0.007518796992481203,0.06382978723404255,0.03296703296703297,0.096
libya,tarhunah,63,moderate,1,good,63,moderate,1,good,60,moderate,0.11538461538461539,0.007518796992481203,0.2680851063829787,0.01098901098901099,0.12
italy,tarquinia,46,good,1,good,46,good,1,good,29,good,0.08097165991902834,0.007518796992481203,0.19574468085106383,0.01098901098901099,0.058
hungary,tatabanya,55,moderate,1,good,27,good,2,good,55,moderate,0.09919028340080971,0.007518796992481203,0.1148936170212766,0.02197802197802198,0.11
brazil,olinda,28,good,0,good,19,good,1,good,28,good,0.04453441295546559,0.0,0.08085106382978724,0.01098901098901099,0.056
israel,or yehuda,117,unhealthy for sensitive groups,2,good,42,good,9,good,117,unhealthy for sensitive groups,0.22469635627530365,0.015037593984962405,0.17872340425531916,0.09890109890109891,0.234
romania,orastie,37,good,1,good,37,good,1,good,37,good,0.06275303643724696,0.007518796992481203,0.1574468085106383,0.01098901098901099,0.074
sweden,orebro,32,good,1,good,32,good,0,good,11,good,0.05263157894736842,0.007518796992481203,0.13617021276595745,0.0,0.022
greece,orestias,42,good,1,good,42,good,0,good,29,good,0.0728744939271255,0.007518796992481203,0.17872340425531916,0.0,0.058
czechia,orlova,89,moderate,2,good,32,good,6,good,89,moderate,0.1680161943319838,0.015037593984962405,0.13617021276595745,0.06593406593406594,0.178
philippines,ormoc,62,moderate,1,good,22,good,0,good,62,moderate,0.11336032388663966,0.007518796992481203,0.09361702127659574,0.0,0.124
united kingdom of great britain and northern ireland,ormskirk,35,good,1,good,35,good,3,good,20,good,0.058704453441295545,0.007518796992481203,0.14893617021276595,0.03296703296703297,0.04
united states of america,oro valley,67,moderate,1,good,16,good,8,good,67,moderate,0.12348178137651822,0.007518796992481203,0.06808510638297872,0.08791208791208792,0.134
nigeria,oron,108,unhealthy for sensitive groups,5,good,19,good,4,good,108,unhealthy for sensitive groups,0.20647773279352227,0.03759398496240601,0.08085106382978724,0.04395604395604396,0.216
germany,oschersleben,55,moderate,1,good,28,good,4,good,55,moderate,0.09919028340080971,0.007518796992481203,0.11914893617021277,0.04395604395604396,0.11
belgium,ostend,39,good,1,good,39,good,2,good,30,good,0.06680161943319837,0.007518796992481203,0.16595744680851063,0.02197802197802198,0.06
france,outreau,41,good,1,good,41,good,1,good,26,good,0.0708502024291498,0.007518796992481203,0.17446808510638298,0.01098901098901099,0.052000000000000005
united states of america,oviedo,59,moderate,1,good,12,good,15,good,59,moderate,0.10728744939271255,0.007518796992481203,0.05106382978723405,0.16483516483516486,0.11800000000000001
canada,owen sound,36,good,1,good,36,good,3,good,36,good,0.060728744939271245,0.007518796992481203,0.15319148936170213,0.03296703296703297,0.07200000000000001
australia,pakenham,24,good,0,good,17,good,3,good,24,good,0.03643724696356275,0.0,0.0723404255319149,0.03296703296703297,0.048
france,palaiseau,84,moderate,3,good,16,good,10,good,84,moderate,0.15789473684210525,0.022556390977443608,0.06808510638297872,0.1098901098901099,0.168
india,palwal,179,unhealthy,4,good,179,unhealthy,2,good,175,unhealthy,0.35020242914979755,0.03007518796992481,0.7617021276595745,0.02197802197802198,0.35000000000000003
italy,paola,64,moderate,1,good,48,good,1,good,64,moderate,0.11740890688259109,0.007518796992481203,0.2042553191489362,0.01098901098901099,0.128
argentina,parana,15,good,0,good,13,good,2,good,15,good,0.01821862348178138,0.0,0.055319148936170216,0.02197802197802198,0.03
brazil,parintins,18,good,0,good,7,good,0,good,18,good,0.0242914979757085,0.0,0.029787234042553193,0.0,0.036000000000000004
south africa,parys,155,unhealthy,7,good,17,good,10,good,155,unhealthy,0.3016194331983806,0.05263157894736842,0.0723404255319149,0.1098901098901099,0.31
peru,pativilca,36,good,1,good,21,good,1,good,36,good,0.060728744939271245,0.007518796992481203,0.08936170212765958,0.01098901098901099,0.07200000000000001
brazil,patos de minas,42,good,1,good,5,good,2,good,42,good,0.0728744939271255,0.007518796992481203,0.02127659574468085,0.02197802197802198,0.084
hungary,pecs,60,moderate,1,good,44,good,1,good,60,moderate,0.10931174089068826,0.007518796992481203,0.18723404255319148,0.01098901098901099,0.12
italy,pedara,55,moderate,1,good,43,good,1,good,55,moderate,0.09919028340080971,0.007518796992481203,0.18297872340425533,0.01098901098901099,0.11
united states of america,pedley,99,moderate,3,good,4,good,23,good,99,moderate,0.1882591093117409,0.022556390977443608,0.01702127659574468,0.2527472527472528,0.198
brazil,penalva,21,good,0,good,11,good,0,good,21,good,0.030364372469635626,0.0,0.04680851063829787,0.0,0.042
united states of america,peru,63,moderate,2,good,19,good,14,good,63,moderate,0.11538461538461539,0.015037593984962405,0.08085106382978724,0.15384615384615385,0.126
india,perundurai,41,good,1,good,30,good,0,good,41,good,0.0708502024291498,0.007518796992481203,0.1276595744680851,0.0,0.082
iraq,panjwin,55,moderate,1,good,55,moderate,0,good,47,good,0.09919028340080971,0.007518796992481203,0.23404255319148937,0.0,0.094
india,pansemal,122,unhealthy for sensitive groups,1,good,38,good,0,good,122,unhealthy for sensitive groups,0.23481781376518218,0.007518796992481203,0.16170212765957448,0.0,0.244
colombia,pereira,121,unhealthy for sensitive groups,4,good,0,good,5,good,121,unhealthy for sensitive groups,0.23279352226720648,0.03007518796992481,0.0,0.05494505494505495,0.242
germany,pfullingen,58,moderate,1,good,37,good,2,good,58,moderate,0.10526315789473684,0.007518796992481203,0.1574468085106383,0.02197802197802198,0.116
czechia,prachatice,68,moderate,1,good,35,good,1,good,68,moderate,0.12550607287449392,0.007518796992481203,0.14893617021276595,0.01098901098901099,0.136
indonesia,praya,51,moderate,1,good,25,good,0,good,51,moderate,0.09109311740890688,0.007518796992481203,0.10638297872340426,0.0,0.10200000000000001
serbia,priboj,59,moderate,1,good,32,good,0,good,59,moderate,0.10728744939271255,0.007518796992481203,0.13617021276595745,0.0,0.11800000000000001
russian federation,pridonskoy,36,good,1,good,36,good,0,good,35,good,0.060728744939271245,0.007518796992481203,0.15319148936170213,0.0,0.07
republic of north macedonia,probistip,82,moderate,1,good,47,good,0,good,82,moderate,0.15384615384615385,0.007518796992481203,0.2,0.0,0.164
brazil,promissao,17,good,1,good,9,good,1,good,17,good,0.022267206477732792,0.007518796992481203,0.03829787234042553,0.01098901098901099,0.034
poland,przeworsk,74,moderate,1,good,39,good,1,good,74,moderate,0.13765182186234817,0.007518796992481203,0.16595744680851063,0.01098901098901099,0.148
spain,puerto del rosario,25,good,0,good,25,good,0,good,9,good,0.038461538461538464,0.0,0.10638297872340426,0.0,0.018000000000000002
peru,puerto maldonado,38,good,1,good,1,good,0,good,38,good,0.06477732793522267,0.007518796992481203,0.00425531914893617,0.0,0.076
colombia,puerto santander,100,unhealthy for sensitive groups,4,good,3,good,6,good,100,unhealthy for sensitive groups,0.1902834008097166,0.03007518796992481,0.012765957446808512,0.06593406593406594,0.2
bolivia (plurinational state of),punata,34,good,1,good,4,good,1,good,34,good,0.05668016194331983,0.007518796992481203,0.01702127659574468,0.01098901098901099,0.068
russian federation,pushkin,33,good,1,good,33,good,2,good,18,good,0.05465587044534413,0.007518796992481203,0.14042553191489363,0.02197802197802198,0.036000000000000004
pakistan,qadirpur ran,161,unhealthy,3,good,152,unhealthy,1,good,161,unhealthy,0.31376518218623484,0.022556390977443608,0.6468085106382979,0.01098901098901099,0.322
france,quimper,48,good,1,good,42,good,2,good,48,good,0.08502024291497975,0.007518796992481203,0.17872340425531916,0.02197802197802198,0.096
colombia,quinchia,87,moderate,3,good,1,good,6,good,87,moderate,0.16396761133603238,0.022556390977443608,0.00425531914893617,0.06593406593406594,0.17400000000000002
mexico,quiroga,49,good,1,good,11,good,4,good,49,good,0.08704453441295547,0.007518796992481203,0.04680851063829787,0.04395604395604396,0.098
greece,rafina,93,moderate,1,good,41,good,6,good,93,moderate,0.17611336032388664,0.007518796992481203,0.17446808510638298,0.06593406593406594,0.186
india,rajnagar,158,unhealthy,3,good,124,unhealthy for sensitive groups,0,good,158,unhealthy,0.3076923076923077,0.022556390977443608,0.5276595744680851,0.0,0.316
france,pierrelatte,64,moderate,2,good,18,good,5,good,64,moderate,0.11740890688259109,0.015037593984962405,0.07659574468085106,0.05494505494505495,0.128
spain,pilas,23,good,0,good,23,good,2,good,22,good,0.03441295546558705,0.0,0.09787234042553192,0.02197802197802198,0.044
china,pingxiang,77,moderate,2,good,23,good,7,good,77,moderate,0.1437246963562753,0.015037593984962405,0.09787234042553192,0.07692307692307693,0.154
united states of america,placerville,70,moderate,2,good,20,good,10,good,70,moderate,0.12955465587044535,0.015037593984962405,0.0851063829787234,0.1098901098901099,0.14
united states of america,pleasant prairie,55,moderate,1,good,14,good,17,good,55,moderate,0.09919028340080971,0.007518796992481203,0.059574468085106386,0.18681318681318682,0.11
brazil,pombos,40,good,1,good,9,good,4,good,40,good,0.06882591093117409,0.007518796992481203,0.03829787234042553,0.04395604395604396,0.08
spain,ponferrada,20,good,0,good,16,good,3,good,20,good,0.02834008097165992,0.0,0.06808510638297872,0.03296703296703297,0.04
portugal,ponte de sor,27,good,0,good,27,good,1,good,21,good,0.04251012145748988,0.0,0.1148936170212766,0.01098901098901099,0.042
italy,porcia,71,moderate,1,good,29,good,3,good,71,moderate,0.13157894736842105,0.007518796992481203,0.12340425531914893,0.03296703296703297,0.14200000000000002
italy,olgiate comasco,97,moderate,1,good,56,moderate,0,good,97,moderate,0.18421052631578946,0.007518796992481203,0.23829787234042554,0.0,0.194
poland,olkusz,64,moderate,1,good,45,good,0,good,64,moderate,0.11740890688259109,0.007518796992481203,0.19148936170212766,0.0,0.128
switzerland,olten,57,moderate,1,good,50,good,0,good,57,moderate,0.10323886639676114,0.007518796992481203,0.2127659574468085,0.0,0.114
united states of america,opa locka,31,good,1,good,30,good,2,good,31,good,0.050607287449392704,0.007518796992481203,0.1276595744680851,0.02197802197802198,0.062
russian federation,opochka,35,good,1,good,35,good,0,good,13,good,0.058704453441295545,0.007518796992481203,0.14893617021276595,0.0,0.026000000000000002
serbia,orahovac,106,unhealthy for sensitive groups,1,good,40,good,0,good,106,unhealthy for sensitive groups,0.20242914979757085,0.007518796992481203,0.1702127659574468,0.0,0.212
united states of america,orangevale,53,moderate,1,good,25,good,7,good,53,moderate,0.0951417004048583,0.007518796992481203,0.10638297872340426,0.07692307692307693,0.106
russian federation,orekhovo zuevo,39,good,1,good,39,good,2,good,28,good,0.06680161943319837,0.007518796992481203,0.16595744680851063,0.02197802197802198,0.056
canada,oshawa,38,good,1,good,23,good,3,good,38,good,0.06477732793522267,0.007518796992481203,0.09787234042553192,0.03296703296703297,0.076
france,ostwald,69,moderate,1,good,61,moderate,0,good,69,moderate,0.12753036437246965,0.007518796992481203,0.25957446808510637,0.0,0.138
burkina faso,ouahigouya,81,moderate,1,good,35,good,0,good,81,moderate,0.15182186234817813,0.007518796992481203,0.14893617021276595,0.0,0.162
belgium,oupeye,56,moderate,1,good,41,good,1,good,56,moderate,0.10121457489878542,0.007518796992481203,0.17446808510638298,0.01098901098901099,0.112
united states of america,pacific grove,41,good,1,good,34,good,1,good,41,good,0.0708502024291498,0.007518796992481203,0.1446808510638298,0.01098901098901099,0.082
germany,paderborn,51,moderate,1,good,44,good,0,good,51,moderate,0.09109311740890688,0.007518796992481203,0.18723404255319148,0.0,0.10200000000000001
philippines,pagadian,44,good,1,good,18,good,1,good,44,good,0.07692307692307693,0.007518796992481203,0.07659574468085106,0.01098901098901099,0.088
india,palakollu,151,unhealthy,3,good,40,good,5,good,151,unhealthy,0.2935222672064777,0.022556390977443608,0.1702127659574468,0.05494505494505495,0.302
italy,palermo,61,moderate,1,good,51,moderate,0,good,61,moderate,0.11133603238866396,0.007518796992481203,0.2170212765957447,0.0,0.122
brazil,palhoca,37,good,0,good,24,good,0,good,37,good,0.06275303643724696,0.0,0.1021276595744681,0.0,0.074
